event_name,event_source,aws_region,identity_type,user_agent_category,is_new_ip_for_identity,is_new_region_for_identity,event_hour,is_off_hours,call_frequency_10m,target_user_is_different,is_privilege_action,error_status,mfa_authenticated,data_source,attack_type,scenario_id,event_time,identity_session_id,original_event_id,source_ip,user_name,identity_arn,is_threat,error_type
PassRole,iam.amazonaws.com,ap-southeast-1,AssumedRole,CLI,0,0,23,1,0,0,1,0,0,synthetic,none,syn-std-bg-9468,2026-04-28T23:33:40Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-004379,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
GetCallerIdentity,sts.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,11,0,1,0,0,0,0,synthetic,none,syn-std-bg-4978,2026-04-09T11:57:12Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-003762,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,CLI,0,0,18,0,1,1,1,0,0,synthetic,none,syn-std-bg-6916,2026-04-30T18:18:03Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010476,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
AssumeRole,sts.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,16,0,1,1,1,0,0,synthetic,none,syn-std-bg-3780,2026-04-25T16:06:54Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-013154,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
CreateAccessKey,iam.amazonaws.com,ap-southeast-1,AssumedRole,SDK,0,0,17,0,2,1,1,0,0,synthetic,none,syn-std-bg-5639,2026-04-16T17:39:46Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-001070,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
PassRole,iam.amazonaws.com,eu-west-1,AssumedRole,CLI,0,0,15,0,1,1,1,0,0,synthetic,none,syn-std-bg-4714,2026-04-23T15:13:34Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-007032,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
CreateAccessKey,iam.amazonaws.com,sa-east-1,AssumedRole,SDK,0,0,5,1,0,0,1,1,0,synthetic,none,syn-std-bg-7606,2026-04-09T05:33:36Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-004352,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
ListRoles,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,1,1,0,0,0,1,0,synthetic,none,syn-std-bg-2201,2026-04-19T01:18:07Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-003086,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,3,1,1,0,1,0,0,synthetic,none,syn-std-bg-9736,2026-04-20T03:16:14Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-002882,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
AssumeRole,sts.amazonaws.com,eu-west-1,IAMUser,CLI,0,0,13,0,1,1,1,0,0,synthetic,none,syn-std-bg-1214,2026-04-18T13:22:16Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-008116,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,9,0,2,0,1,1,0,synthetic,none,syn-std-bg-5515,2026-04-28T09:35:57Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-004741,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
PutRolePolicy,iam.amazonaws.com,us-west-2,AssumedRole,SDK,0,0,15,0,0,0,1,1,0,synthetic,none,syn-std-bg-9436,2026-04-13T15:41:54Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-013601,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
PassRole,iam.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,2,1,0,0,1,1,0,synthetic,none,syn-std-bg-9686,2026-04-26T02:31:28Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012603,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,9,0,0,1,1,1,0,synthetic,none,syn-std-bg-7579,2026-04-17T09:17:42Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009549,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
CreateAccessKey,iam.amazonaws.com,us-west-2,IAMUser,SDK,0,0,8,0,0,0,1,0,0,synthetic,none,syn-std-bg-7582,2026-04-24T08:44:56Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-004404,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,0,False_Positive
ListBuckets,s3.amazonaws.com,us-east-2,IAMUser,Console,0,0,15,0,3,0,0,0,0,synthetic,none,syn-std-bg-3365,2026-04-18T15:13:34Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-010682,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,0,False_Positive
DescribeInstances,ec2.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,0,0,0,1,0,synthetic,none,syn-std-bg-2256,2026-04-06T15:06:24Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-005479,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,0,False_Positive
ListRoles,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,4,1,0,0,0,1,0,synthetic,none,syn-std-bg-9081,2026-04-05T04:00:29Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-008693,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,8,0,1,1,1,1,0,synthetic,none,syn-std-bg-6073,2026-04-14T08:48:34Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013204,192.168.10.40,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,0,False_Positive
UpdateAccessKey,iam.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,8,0,1,0,1,0,1,synthetic,credential_activation_abuse,syn-std-th-2997,2026-04-27T08:16:34Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-007455,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
PassRole,iam.amazonaws.com,us-east-1,IAMUser,SDK,0,0,1,1,0,0,1,1,1,synthetic,pass_role_privilege_escalation,syn-std-th-7067,2026-04-04T01:33:18Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010389,104.244.76.13,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,21,1,0,0,1,0,1,synthetic,privilege_escalation_role_policy,syn-std-th-2800,2026-04-30T21:36:12Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-008281,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
GetCallerIdentity,sts.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,14,0,0,0,0,0,0,synthetic,discovery_reconnaissance,syn-seq-threat-0286,2026-04-17T14:10:48Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009431,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
CreateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,12,0,1,0,1,1,0,synthetic,rogue_credential_creation,syn-std-th-8512,2026-04-30T12:48:51Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-011590,104.244.76.13,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,SDK,0,0,4,1,1,0,1,0,1,synthetic,privilege_escalation_role_policy,syn-std-th-7576,2026-04-19T04:58:14Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-008115,104.244.76.13,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
PassRole,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,4,1,0,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-1367,2026-04-30T04:22:10Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009889,198.51.100.24,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,15,0,2,1,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-3474,2026-04-14T15:34:57Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-008262,104.244.76.13,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,10,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-8398,2026-04-11T10:20:23Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-008109,194.26.29.112,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,10,0,0,0,1,0,0,synthetic,credential_activation_abuse,syn-std-th-8585,2026-04-04T10:30:55Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-003530,104.244.76.13,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
ListRoles,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,17,0,2,0,0,0,0,synthetic,permission_probing,syn-seq-threat-0254,2026-04-27T17:14:53Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-007228,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,5,1,0,0,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-4645,2026-04-24T05:45:41Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-009481,10.10.15.23,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
PutUserPolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,2,1,1,0,1,0,0,synthetic,inline_policy_injection,syn-std-th-2200,2026-04-21T02:40:41Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-013848,45.154.255.99,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,23,1,0,0,1,0,0,synthetic,credential_activation_abuse,syn-std-th-8394,2026-04-10T23:29:22Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-009309,194.26.29.112,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-2,IAMUser,CLI,0,0,21,1,0,1,1,0,1,synthetic,credential_activation_abuse,syn-std-th-8864,2026-04-13T21:22:54Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-012016,194.26.29.112,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
GetCallerIdentity,sts.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,12,0,1,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-5893,2026-04-16T12:27:50Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-008217,10.100.4.12,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,IAMUser,Console,0,0,11,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-5544,2026-04-24T11:28:10Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-002650,198.51.100.24,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,17,0,4,0,1,0,1,synthetic,privilege_escalation_role_policy,syn-std-th-3060,2026-04-17T17:35:02Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-009944,185.220.101.5,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
PassRole,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,11,0,0,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-7230,2026-04-26T11:26:51Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-010658,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,12,0,2,1,1,0,0,synthetic,credential_activation_abuse,syn-std-th-2205,2026-04-17T12:47:28Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-003293,203.0.113.88,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,11,0,0,0,1,1,0,synthetic,unauthorized_role_assumption,syn-std-th-1034,2026-04-03T11:55:54Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-012888,192.168.1.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,18,0,1,0,1,0,0,synthetic,credential_activation_abuse,syn-std-th-3410,2026-05-01T18:03:33Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-000585,45.154.255.99,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
PassRole,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,15,0,0,0,1,0,0,synthetic,pass_role_privilege_escalation,syn-std-th-8831,2026-04-28T15:08:33Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-001609,198.51.100.24,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
CreateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,1,1,0,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-3755,2026-04-25T01:36:00Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-004616,203.0.113.88,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,11,0,2,0,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-7521,2026-04-12T11:15:59Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-008438,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,12,0,0,0,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-3208,2026-04-02T12:50:28Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-003465,45.154.255.99,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,2,1,1,0,0,0,1,synthetic,discovery_reconnaissance,syn-seq-threat-0128,2026-04-02T02:16:58Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-011974,185.220.101.5,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
PassRole,iam.amazonaws.com,us-west-2,IAMUser,CLI,0,0,2,1,0,0,1,1,1,synthetic,pass_role_privilege_escalation,syn-std-th-3071,2026-04-07T02:51:10Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-012316,194.26.29.112,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,sa-east-1,AssumedRole,SDK,0,0,16,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-3611,2026-04-28T16:26:58Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-012256,45.154.255.99,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,1,1,0,0,1,0,0,synthetic,role_inline_policy_backdoor,syn-std-th-1098,2026-04-08T01:57:17Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-000653,203.0.113.88,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
PutUserPolicy,iam.amazonaws.com,sa-east-1,IAMUser,Console,0,0,14,0,1,0,1,0,0,synthetic,inline_policy_injection,syn-std-th-8312,2026-04-15T14:28:18Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-003243,104.244.76.13,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
PutUserPolicy,iam.amazonaws.com,sa-east-1,IAMUser,CLI,0,0,15,0,0,0,1,0,0,synthetic,inline_policy_injection,syn-std-th-3961,2026-04-05T15:42:57Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-012617,198.51.100.24,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,3,1,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-8454,2026-04-30T03:42:21Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-013809,194.26.29.112,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-west-2,AssumedRole,CLI,0,0,16,0,0,0,1,1,0,synthetic,credential_activation_abuse,syn-std-th-2569,2026-04-22T16:21:33Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013446,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
AttachUserPolicy,iam.amazonaws.com,eu-west-1,AssumedRole,CLI,0,0,17,0,1,0,1,1,0,synthetic,privilege_escalation_user_policy,syn-std-th-3345,2026-04-06T17:03:00Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-000040,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,0,0,1,0,0,synthetic,unauthorized_role_assumption,syn-std-th-2409,2026-04-24T15:43:27Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-011968,192.168.1.50,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
CreateAccessKey,iam.amazonaws.com,sa-east-1,AssumedRole,SDK,0,0,17,0,1,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-6071,2026-04-17T17:32:25Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-004300,45.154.255.99,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
AssumeRole,sts.amazonaws.com,eu-west-1,AssumedRole,SDK,0,0,4,1,1,0,1,0,0,synthetic,unauthorized_role_assumption,syn-std-th-1953,2026-04-21T04:15:27Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-002426,194.26.29.112,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,5,1,1,0,1,1,1,synthetic,privilege_escalation_role_policy,syn-std-th-5177,2026-04-24T05:26:34Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-012209,203.0.113.88,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
ListUsers,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,2,1,2,0,0,1,0,synthetic,permission_probing,syn-seq-threat-0296,2026-04-25T02:11:44Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-000835,203.0.113.88,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
PutRolePolicy,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,10,0,2,0,1,1,0,synthetic,role_inline_policy_backdoor,syn-seq-threat-0248,2026-04-03T10:25:29Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-001063,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
ListUsers,iam.amazonaws.com,us-east-1,AssumedRole,CLI,0,0,1,1,2,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-5729,2026-04-25T01:31:03Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-013364,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
ListBuckets,s3.amazonaws.com,us-east-2,AssumedRole,SDK,0,0,16,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-3080,2026-04-28T16:50:04Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-003750,45.154.255.99,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
DescribeInstances,ec2.amazonaws.com,us-east-1,IAMUser,CLI,0,0,15,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-9633,2026-04-03T15:38:28Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-010858,10.50.2.10,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
ListUsers,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,17,0,3,0,0,1,0,synthetic,permission_probing,syn-seq-threat-0023,2026-04-25T17:22:58Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-011402,10.100.4.15,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,9,0,1,0,1,1,0,synthetic,credential_activation_abuse,syn-std-th-3346,2026-04-06T09:26:19Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-013526,10.10.15.22,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
CreateAccessKey,iam.amazonaws.com,us-east-2,AssumedRole,CLI,0,0,14,0,1,1,1,0,0,synthetic,rogue_credential_creation,syn-std-th-8470,2026-04-23T14:08:16Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-005876,198.51.100.24,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
ListBuckets,s3.amazonaws.com,us-east-1,IAMUser,Console,0,0,16,0,1,0,0,0,1,synthetic,cloud_intrusion_threat,syn-std-th-4110,2026-04-09T16:12:06Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-001611,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
AttachRolePolicy,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,15,0,1,0,1,0,0,synthetic,privilege_escalation_role_policy,syn-std-th-1055,2026-04-27T15:40:03Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-001133,45.154.255.99,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,IAMUser,SDK,0,0,13,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-4701,2026-04-24T13:54:30Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-007464,192.168.1.51,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
PutRolePolicy,iam.amazonaws.com,us-west-2,IAMUser,Console,0,0,15,0,0,0,1,0,0,synthetic,role_inline_policy_backdoor,syn-std-th-8970,2026-04-24T15:20:41Z,arn:aws:iam::123456789012:user/alice_lead_dev,syn-evt-011810,45.154.255.99,alice_lead_dev,arn:aws:iam::123456789012:user/alice_lead_dev,1,False_Negative
ListRoles,iam.amazonaws.com,us-west-2,IAMUser,CLI,0,0,12,0,3,0,0,1,1,synthetic,permission_probing,syn-seq-threat-0151,2026-04-27T12:16:33Z,arn:aws:iam::123456789012:user/carol_secops,syn-evt-000391,10.50.2.11,carol_secops,arn:aws:iam::123456789012:user/carol_secops,1,False_Negative
CreateAccessKey,iam.amazonaws.com,ap-southeast-1,AssumedRole,SDK,0,0,23,1,1,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-7676,2026-04-05T23:14:09Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-005476,104.244.76.13,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
DescribeInstances,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,17,0,0,0,0,1,0,synthetic,cloud_intrusion_threat,syn-std-th-4852,2026-04-05T17:51:44Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-009826,10.200.1.5,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
CreateAccessKey,iam.amazonaws.com,us-east-1,IAMUser,Console,0,0,16,0,0,0,1,0,0,synthetic,rogue_credential_creation,syn-std-th-9888,2026-04-30T16:43:42Z,arn:aws:iam::123456789012:user/bob_contractor,syn-evt-008819,185.220.101.5,bob_contractor,arn:aws:iam::123456789012:user/bob_contractor,1,False_Negative
DescribeSecurityGroups,ec2.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,10,0,1,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-2078,2026-04-25T10:34:52Z,arn:aws:iam::123456789012:role/AppBackendServiceRole,syn-evt-009438,104.244.76.13,AppBackendServiceRole,arn:aws:iam::123456789012:role/AppBackendServiceRole,1,False_Negative
ListRoles,iam.amazonaws.com,sa-east-1,AssumedRole,CLI,0,0,14,0,0,0,0,0,0,synthetic,cloud_intrusion_threat,syn-std-th-1186,2026-04-26T14:44:17Z,arn:aws:iam::123456789012:role/DevOpsAdminRole,syn-evt-011639,194.26.29.112,DevOpsAdminRole,arn:aws:iam::123456789012:role/DevOpsAdminRole,1,False_Negative
UpdateAccessKey,iam.amazonaws.com,us-east-1,AssumedRole,SDK,0,0,22,1,1,0,1,0,0,synthetic,credential_activation_abuse,syn-std-th-8271,2026-04-14T22:45:42Z,arn:aws:iam::123456789012:role/JenkinsCICDRunner,syn-evt-000915,10.200.1.6,JenkinsCICDRunner,arn:aws:iam::123456789012:role/JenkinsCICDRunner,1,False_Negative
